ano,rodada,timeId,pontos,vitorias,empates,derrotas,gm,gc,sg,pf,pnr,%
2012,12,985,27,9,0,3,29,17,12,1,7,75.0
2012,12,931,16,4,4,4,25,22,3,12,9,44.44444444444444
2012,12,289,15,3,6,3,13,12,1,17,19,41.666666666666664
2012,12,984,23,7,2,3,19,13,6,8,19,63.888888888888886
2012,12,631,24,7,3,2,24,13,11,3,6,66.66666666666667
2012,12,379,19,5,4,3,15,12,3,10,15,52.77777777777778
2012,12,512,13,2,7,3,10,11,-1,13,15,36.111111111111114
2012,12,11,19,5,4,3,23,13,10,4,1,52.77777777777778
2012,12,148,17,5,2,5,20,21,-1,5,3,47.22222222222222
2012,12,1032,9,1,6,5,14,22,-8,19,17,25.0
2012,12,29,20,5,5,2,22,16,6,6,17,55.55555555555556
2012,12,31,15,3,6,3,17,16,1,7,8,41.666666666666664
2012,12,1071,11,3,2,7,12,21,-9,18,16,30.555555555555557
2012,12,281,28,8,4,0,25,10,15,2,2,77.77777777777777
2012,12,405,9,2,3,7,10,22,-12,15,14,25.0
2012,12,1039,4,0,4,8,9,23,-14,20,20,11.11111111111111
2012,12,180,8,2,2,8,18,30,-12,14,16,22.22222222222222
2012,12,762,14,3,5,4,13,17,-4,16,4,38.888888888888886
2012,12,2288,16,4,4,4,18,16,2,9,19,44.44444444444444
2012,13,180,11,3,2,8,20,30,-10,14,17,28.205128205128204
2012,13,762,14,3,5,5,13,19,-6,16,3,35.8974358974359
2012,13,1071,14,4,2,7,15,23,-8,18,16,35.8974358974359
2012,13,1032,9,1,6,6,16,25,-9,19,19,23.076923076923077
2012,13,29,21,5,6,2,23,17,6,6,15,53.84615384615385
2012,13,1123,15,3,6,4,10,19,-9,11,19,38.46153846153846
2012,13,2288,17,4,5,4,18,16,2,9,19,43.58974358974359
2012,13,31,16,3,7,3,17,16,1,7,9,41.02564102564103
2012,13,631,25,7,4,2,24,13,11,3,5,64.1025641025641
2012,13,281,29,8,5,0,25,10,15,2,1,74.35897435897436
2012,13,289,15,3,6,4,15,16,-1,17,20,38.46153846153846
2012,13,984,26,8,2,3,23,15,8,8,19,66.66666666666667
2012,13,985,30,10,0,3,32,18,14,1,6,76.92307692307692
2012,13,1039,4,0,4,9,10,26,-16,20,18,10.256410256410257
2012,13,148,20,6,2,5,23,22,1,5,4,51.282051282051285
2012,13,379,19,5,4,4,16,15,1,10,13,48.717948717948715
2012,13,405,10,2,4,7,10,22,-12,15,11,25.641025641025642
2012,13,11,20,5,5,3,23,13,10,4,2,51.282051282051285
2012,13,512,16,3,7,3,11,11,0,13,15,41.02564102564103
2012,13,931,16,4,4,5,25,23,2,12,8,41.02564102564103
2012,14,405,13,3,4,7,11,22,-11,15,13,30.952380952380953
2012,14,1032,9,1,6,7,16,26,-10,19,19,21.428571428571427
2012,14,2288,20,5,5,4,21,17,4,9,19,47.61904761904762
2012,14,984,26,8,2,4,24,18,6,8,19,61.904761904761905
2012,14,289,16,3,7,4,15,16,-1,17,18,38.095238095238095
2012,14,1039,5,0,5,9,10,26,-16,20,19,11.904761904761905
2012,14,985,33,11,0,3,33,18,15,1,5,78.57142857142857
2012,14,379,19,5,4,5,16,16,0,10,15,45.23809523809524
2012,14,1071,14,4,2,8,15,25,-10,18,16,33.333333333333336
2012,14,281,32,9,5,0,27,10,17,2,1,76.19047619047619
2012,14,29,22,5,7,2,24,18,6,6,14,52.38095238095238
2012,14,11,21,5,6,3,24,14,10,4,2,50.0
2012,14,180,12,3,3,8,21,31,-10,14,17,28.571428571428573
2012,14,1123,16,3,7,4,11,20,-9,11,19,38.095238095238095
2012,14,148,23,7,2,5,25,23,2,5,4,54.76190476190476
2012,14,31,16,3,7,4,18,18,0,7,9,38.095238095238095
2012,14,631,26,7,5,2,24,13,11,3,8,61.904761904761905
2012,14,931,17,4,5,5,25,23,2,12,7,40.476190476190474
2012,14,512,19,4,7,3,13,12,1,13,16,45.23809523809524
2012,14,762,14,3,5,6,14,21,-7,16,3,33.333333333333336
2012,15,379,22,6,4,5,19,17,2,10,15,48.888888888888886
2012,15,631,26,7,5,3,25,16,9,3,9,57.77777777777778
2012,15,281,33,9,6,0,28,11,17,2,1,73.33333333333333
2012,15,29,23,5,8,2,25,19,6,6,16,51.111111111111114
2012,15,1032,9,1,6,8,19,30,-11,19,19,20.0
2012,15,985,36,12,0,3,37,21,16,1,6,80.0
2012,15,1039,6,0,6,9,11,27,-16,20,17,13.333333333333334
2012,15,405,14,3,5,7,12,23,-11,15,13,31.11111111111111
2012,15,31,19,4,7,4,19,18,1,7,7,42.22222222222222
2012,15,180,12,3,3,9,21,32,-11,14,18,26.666666666666668
2012,15,1123,19,4,7,4,13,21,-8,11,20,42.22222222222222
2012,15,289,16,3,7,5,16,18,-2,17,20,35.55555555555556
2012,15,762,17,4,5,6,17,21,-4,16,3,37.77777777777778
2012,15,1071,14,4,2,9,15,28,-13,18,17,31.11111111111111
2012,15,931,17,4,5,6,25,26,-1,12,8,37.77777777777778
2012,15,148,26,8,2,5,28,23,5,5,5,57.77777777777778
2012,15,11,21,5,6,4,24,16,8,4,2,46.666666666666664
2012,15,2288,23,6,5,4,23,17,6,9,20,51.111111111111114
2012,15,984,26,8,2,5,24,19,5,8,19,57.77777777777778
2012,15,512,22,5,7,3,14,12,2,13,13,48.888888888888886
2012,16,1071,15,4,3,9,17,30,-13,18,18,31.25
2012,16,1039,7,0,7,9,13,29,-16,20,18,14.583333333333334
2012,16,29,26,6,8,2,27,20,7,6,17,54.166666666666664
2012,16,148,26,8,2,6,29,25,4,5,4,54.166666666666664
2012,16,289,16,3,7,6,17,21,-4,17,20,33.333333333333336
2012,16,631,29,8,5,3,28,17,11,3,10,60.416666666666664
2012,16,379,22,6,4,6,21,20,1,10,16,45.833333333333336
2012,16,31,22,5,7,4,22,20,2,7,7,45.833333333333336
2012,16,405,15,3,6,7,12,23,-11,15,11,31.25
2012,16,512,23,5,8,3,14,12,2,13,15,47.916666666666664
2012,16,180,15,4,3,9,22,32,-10,14,19,31.25
2012,16,1032,9,1,6,9,19,31,-12,19,19,18.75
2012,16,281,33,9,6,1,30,14,16,2,2,68.75
2012,16,985,39,13,0,3,40,23,17,1,5,81.25
2012,16,11,24,6,6,4,26,16,10,4,1,50.0
2012,16,984,26,8,2,6,24,21,3,8,19,54.166666666666664
2012,16,931,20,5,5,6,27,27,0,12,9,41.666666666666664
2012,16,762,17,4,5,7,18,23,-5,16,3,35.416666666666664
2012,16,2288,23,6,5,5,26,21,5,9,19,47.916666666666664
2012,16,1123,22,5,7,4,17,24,-7,11,20,45.833333333333336
2012,17,1032,9,1,6,10,21,36,-15,19,20,17.647058823529413
2012,17,11,27,7,6,4,31,18,13,4,1,52.94117647058823
2012,17,984,27,8,3,6,24,21,3,8,19,52.94117647058823
2012,17,379,23,6,5,6,21,20,1,10,16,45.09803921568628
2012,17,1039,10,1,7,9,15,30,-15,20,16,19.607843137254903
2012,17,931,20,5,5,7,28,29,-1,12,8,39.21568627450981
2012,17,762,17,4,5,8,19,26,-7,16,3,33.333333333333336
2012,17,281,36,10,6,1,33,15,18,2,2,70.58823529411765
2012,17,631,30,8,6,3,30,19,11,3,9,58.8235294117647
2012,17,180,16,4,4,9,24,34,-10,14,20,31.372549019607842
2012,17,31,22,5,7,5,23,23,0,7,7,43.13725490196079
2012,17,405,18,4,6,7,15,24,-9,15,11,35.294117647058826
2012,17,1123,25,6,7,4,19,25,-6,11,20,49.01960784313726
2012,17,1071,15,4,3,10,18,32,-14,18,18,29.41176470588235
2012,17,148,29,9,2,6,30,25,5,5,6,56.86274509803921
2012,17,2288,23,6,5,6,26,22,4,9,20,45.09803921568628
2012,17,985,42,14,0,3,43,24,19,1,4,82.3529411764706
2012,17,289,16,3,7,7,18,24,-6,17,18,31.372549019607842
2012,17,512,24,5,9,3,15,13,2,13,15,47.05882352941177
2012,17,29,27,6,9,2,28,21,7,6,17,52.94117647058823
2012,18,984,30,9,3,6,26,22,4,8,19,55.55555555555556
2012,18,1123,25,6,7,5,20,27,-7,11,20,46.2962962962963
2012,18,180,16,4,4,10,24,35,-11,14,20,29.62962962962963
